Disease,Description,Medication,Diet,workout,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Symptoms,Information
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",Avoid allergenic foods,apply calamine,cover area with bandage,,use ice to compress itching,"Allergy,  continuous_sneezing,  shivering,  chills,  watering_from_eyes","Disease: Allergy, Symptoms: Allergy,  continuous_sneezing,  shivering,  chills,  watering_from_eyes, Medication: ['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy'], Diet: ['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']"
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",Consume anti-inflammatory foods,apply calamine,cover area with bandage,,use ice to compress itching,"Allergy,  shivering,  chills,  watering_from_eyes","Disease: Allergy, Symptoms: Allergy,  shivering,  chills,  watering_from_eyes, Medication: ['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy'], Diet: ['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']"
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",Include omega-3 fatty acids,apply calamine,cover area with bandage,,use ice to compress itching,"Allergy,  continuous_sneezing,  chills,  watering_from_eyes","Disease: Allergy, Symptoms: Allergy,  continuous_sneezing,  chills,  watering_from_eyes, Medication: ['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy'], Diet: ['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']"
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",Stay hydrated,apply calamine,cover area with bandage,,use ice to compress itching,"Allergy,  continuous_sneezing,  shivering,  watering_from_eyes","Disease: Allergy, Symptoms: Allergy,  continuous_sneezing,  shivering,  watering_from_eyes, Medication: ['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy'], Diet: ['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']"
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",Eat foods rich in vitamin C,apply calamine,cover area with bandage,,use ice to compress itching,"Allergy,  continuous_sneezing,  shivering,  chills","Disease: Allergy, Symptoms: Allergy,  continuous_sneezing,  shivering,  chills, Medication: ['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy'], Diet: ['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']"
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",Include quercetin-rich foods,apply calamine,cover area with bandage,,use ice to compress itching,"Allergy,  shivering,  chills,  watering_from_eyes","Disease: Allergy, Symptoms: Allergy,  shivering,  chills,  watering_from_eyes, Medication: ['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy'], Diet: ['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']"
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",Consume local honey,apply calamine,cover area with bandage,,use ice to compress itching,"Allergy,  continuous_sneezing,  chills,  watering_from_eyes","Disease: Allergy, Symptoms: Allergy,  continuous_sneezing,  chills,  watering_from_eyes, Medication: ['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy'], Diet: ['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']"
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",Limit processed foods,apply calamine,cover area with bandage,,use ice to compress itching,"Allergy,  continuous_sneezing,  shivering,  watering_from_eyes","Disease: Allergy, Symptoms: Allergy,  continuous_sneezing,  shivering,  watering_from_eyes, Medication: ['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy'], Diet: ['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']"
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",Include ginger in diet,apply calamine,cover area with bandage,,use ice to compress itching,"Allergy,  continuous_sneezing,  shivering,  chills","Disease: Allergy, Symptoms: Allergy,  continuous_sneezing,  shivering,  chills, Medication: ['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy'], Diet: ['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']"
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",Avoid artificial additives,apply calamine,cover area with bandage,,use ice to compress itching,"Allergy,  continuous_sneezing,  shivering,  chills,  watering_from_eyes","Disease: Allergy, Symptoms: Allergy,  continuous_sneezing,  shivering,  chills,  watering_from_eyes, Medication: ['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy'], Diet: ['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']",Consume smaller meals,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"GERD,  stomach_pain,  acidity,  ulcers_on_tongue,  vomiting","Disease: GERD, Symptoms: GERD,  stomach_pain,  acidity,  ulcers_on_tongue,  vomiting, Medication: ['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics'], Diet: ['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","Avoid trigger foods (spicy, fatty)",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"GERD,  stomach_pain,  ulcers_on_tongue,  vomiting,  cough","Disease: GERD, Symptoms: GERD,  stomach_pain,  ulcers_on_tongue,  vomiting,  cough, Medication: ['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics'], Diet: ['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']",Eat high-fiber foods,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"GERD,  stomach_pain,  acidity,  vomiting,  cough","Disease: GERD, Symptoms: GERD,  stomach_pain,  acidity,  vomiting,  cough, Medication: ['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics'], Diet: ['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']",Limit caffeine and alcohol,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"GERD,  stomach_pain,  acidity,  ulcers_on_tongue,  cough","Disease: GERD, Symptoms: GERD,  stomach_pain,  acidity,  ulcers_on_tongue,  cough, Medication: ['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics'], Diet: ['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']",Chew food thoroughly,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"GERD,  stomach_pain,  acidity,  ulcers_on_tongue,  vomiting","Disease: GERD, Symptoms: GERD,  stomach_pain,  acidity,  ulcers_on_tongue,  vomiting, Medication: ['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics'], Diet: ['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']",Avoid late-night eating,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"GERD,  stomach_pain,  acidity,  ulcers_on_tongue,  vomiting","Disease: GERD, Symptoms: GERD,  stomach_pain,  acidity,  ulcers_on_tongue,  vomiting, Medication: ['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics'], Diet: ['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']",Consume non-citrus fruits,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"GERD,  acidity,  ulcers_on_tongue,  vomiting,  cough","Disease: GERD, Symptoms: GERD,  acidity,  ulcers_on_tongue,  vomiting,  cough, Medication: ['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics'], Diet: ['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']",Include lean proteins,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"GERD,  stomach_pain,  ulcers_on_tongue,  vomiting,  cough","Disease: GERD, Symptoms: GERD,  stomach_pain,  ulcers_on_tongue,  vomiting,  cough, Medication: ['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics'], Diet: ['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']",Stay hydrated,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"GERD,  stomach_pain,  acidity,  vomiting,  cough","Disease: GERD, Symptoms: GERD,  stomach_pain,  acidity,  vomiting,  cough, Medication: ['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics'], Diet: ['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']",Avoid carbonated beverages,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"GERD,  stomach_pain,  acidity,  ulcers_on_tongue,  cough","Disease: GERD, Symptoms: GERD,  stomach_pain,  acidity,  ulcers_on_tongue,  cough, Medication: ['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics'], Diet: ['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']"
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']",Consume a low-fat diet,cold baths,anti itch medicine,consult doctor,eat healthy,"Chronic cholestasis, itching,  vomiting,  yellowish_skin,  nausea","Disease: Chronic cholestasis, Symptoms: Chronic cholestasis, itching,  vomiting,  yellowish_skin,  nausea, Medication: ['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant'], Diet: ['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']"
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']",Eat high-fiber foods,cold baths,anti itch medicine,consult doctor,eat healthy,"Chronic cholestasis,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite","Disease: Chronic cholestasis, Symptoms: Chronic cholestasis,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite, Medication: ['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant'], Diet: ['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']"
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']",Include healthy fats,cold baths,anti itch medicine,consult doctor,eat healthy,"Chronic cholestasis, itching,  yellowish_skin,  nausea,  loss_of_appetite","Disease: Chronic cholestasis, Symptoms: Chronic cholestasis, itching,  yellowish_skin,  nausea,  loss_of_appetite, Medication: ['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant'], Diet: ['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']"
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']",Limit alcohol consumption,cold baths,anti itch medicine,consult doctor,eat healthy,"Chronic cholestasis, itching,  vomiting,  nausea,  loss_of_appetite","Disease: Chronic cholestasis, Symptoms: Chronic cholestasis, itching,  vomiting,  nausea,  loss_of_appetite, Medication: ['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant'], Diet: ['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']"
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']",Stay hydrated,cold baths,anti itch medicine,consult doctor,eat healthy,"Chronic cholestasis, itching,  vomiting,  yellowish_skin,  loss_of_appetite","Disease: Chronic cholestasis, Symptoms: Chronic cholestasis, itching,  vomiting,  yellowish_skin,  loss_of_appetite, Medication: ['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant'], Diet: ['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']"
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']",Consume antioxidant-rich foods,cold baths,anti itch medicine,consult doctor,eat healthy,"Chronic cholestasis, itching,  vomiting,  yellowish_skin,  nausea","Disease: Chronic cholestasis, Symptoms: Chronic cholestasis, itching,  vomiting,  yellowish_skin,  nausea, Medication: ['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant'], Diet: ['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']"
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']",Include omega-3 fatty acids,cold baths,anti itch medicine,consult doctor,eat healthy,"Chronic cholestasis, itching,  vomiting,  yellowish_skin,  nausea","Disease: Chronic cholestasis, Symptoms: Chronic cholestasis, itching,  vomiting,  yellowish_skin,  nausea, Medication: ['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant'], Diet: ['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']"
