Disease,Description,Medication,Diet,workout,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Symptoms,Information
Dị ứng,Dị ứng là một phản ứng hệ thống miễn dịch đối với một chất trong môi trường.,"['Thuốc kháng histamine', 'Thuốc thông minh', 'epinephrine', 'corticosteroid', 'liệu pháp miễn dịch']]]]]]]]]",.,Tránh thực phẩm gây dị ứng,Áp dụng calamine,Khu vực che phủ băng,nan,Sử dụng băng để nén ngứa,"Dị ứng, liên tục_sneezing, rùng mình, ớn lạnh, tưới nước_from_eyes","Bệnh: Dị ứng, triệu chứng: Dị ứng, liên tục_sneezing, run rẩy, ớn lạnh, tưới nước_from_eyes, thuốc: ['thuốc kháng histamines', 'thuốc giảm đau', 'epinephrine', 'corticosteroid', 'trị liệu miễn dịch' Thực phẩm giàu -3 ',' Thực phẩm giàu vitamin C ',' Thực phẩm giàu quercetin ',' Probiotic ']]"
Dị ứng,Dị ứng là một phản ứng hệ thống miễn dịch đối với một chất trong môi trường.,"['Thuốc kháng histamine', 'Thuốc thông minh', 'epinephrine', 'corticosteroid', 'liệu pháp miễn dịch']]]]]]]]]",.,Tiêu thụ thực phẩm chống viêm,Áp dụng calamine,Khu vực che phủ băng,nan,Sử dụng băng để nén ngứa,"Dị ứng, run rẩy, ớn lạnh, tưới nước_from_eyes","Bệnh: Dị ứng, triệu chứng: Dị ứng, run rẩy, ớn lạnh, tưới nước_from_eyes, thuốc: ['thuốc kháng histamines', 'thuốc thông minh', 'epinephrine', 'corticosteroid', 'liệu pháp miễn dịch'] -Các thực phẩm giàu ',' Thực phẩm giàu vitamin C ',' Thực phẩm giàu quercetin ',' Probiotics ']]]"
Dị ứng,Dị ứng là một phản ứng hệ thống miễn dịch đối với một chất trong môi trường.,"['Thuốc kháng histamine', 'Thuốc thông minh', 'epinephrine', 'corticosteroid', 'liệu pháp miễn dịch']]]]]]]]]",.,Bao gồm axit béo omega-3,Áp dụng calamine,Khu vực che phủ băng,nan,Sử dụng băng để nén ngứa,"Dị ứng, liên tục_sneezing, ớn lạnh, tưới nước_from_eyes","Bệnh: Dị ứng, triệu chứng: Dị ứng, liên tục_sneezing, ớn lạnh, tưới nước_from_eyes, thuốc: ['thuốc kháng histamines', 'thuốc giảm đau', 'epinephrine', 'corticosteroid', 'trị liệu miễn dịch'] -Các thực phẩm giàu ',' Thực phẩm giàu vitamin C ',' Thực phẩm giàu quercetin ',' Probiotics ']]]"
Dị ứng,Dị ứng là một phản ứng hệ thống miễn dịch đối với một chất trong môi trường.,"['Thuốc kháng histamine', 'Thuốc thông minh', 'epinephrine', 'corticosteroid', 'liệu pháp miễn dịch']]]]]]]]]",.,Giữ nước,Áp dụng calamine,Khu vực che phủ băng,nan,Sử dụng băng để nén ngứa,"Dị ứng, liên tục_sneezing, rùng mình, tưới nước_from_eyes","Bệnh: Dị ứng, triệu chứng: Dị ứng, liên tục_sneezing, run rẩy, tưới nước_from_eyes, thuốc: ['thuốc kháng histamines', 'thuốc giảm đau', 'epinephrine', 'corticosteroid', 'trị liệu miễn dịch'] -Các thực phẩm giàu ',' Thực phẩm giàu vitamin C ',' Thực phẩm giàu quercetin ',' Probiotics ']]]"
Dị ứng,Dị ứng là một phản ứng hệ thống miễn dịch đối với một chất trong môi trường.,"['Thuốc kháng histamine', 'Thuốc thông minh', 'epinephrine', 'corticosteroid', 'liệu pháp miễn dịch']]]]]]]]]",.,Ăn thực phẩm giàu vitamin C,Áp dụng calamine,Khu vực che phủ băng,nan,Sử dụng băng để nén ngứa,"Dị ứng, liên tục_sneezing, run rẩy, ớn lạnh","Bệnh: Dị ứng, triệu chứng: Dị ứng, liên tục_sneezing, run rẩy, ớn lạnh, thuốc: ['thuốc kháng histamines', 'thuốc thông minh', 'epinephrine', 'corticosteroid', 'liệu pháp miễn dịch'] -Các thực phẩm giàu ',' Thực phẩm giàu vitamin C ',' Thực phẩm giàu quercetin ',' Probiotics ']]]"
Dị ứng,Dị ứng là một phản ứng hệ thống miễn dịch đối với một chất trong môi trường.,"['Thuốc kháng histamine', 'Thuốc thông minh', 'epinephrine', 'corticosteroid', 'liệu pháp miễn dịch']]]]]]]]]",.,Bao gồm các thực phẩm giàu quercetin,Áp dụng calamine,Khu vực che phủ băng,nan,Sử dụng băng để nén ngứa,"Dị ứng, run rẩy, ớn lạnh, tưới nước_from_eyes","Bệnh: Dị ứng, triệu chứng: Dị ứng, run rẩy, ớn lạnh, tưới nước_from_eyes, thuốc: ['thuốc kháng histamines', 'thuốc thông minh', 'epinephrine', 'corticosteroid', 'liệu pháp miễn dịch'] -Các thực phẩm giàu ',' Thực phẩm giàu vitamin C ',' Thực phẩm giàu quercetin ',' Probiotics ']]]"
Dị ứng,Dị ứng là một phản ứng hệ thống miễn dịch đối với một chất trong môi trường.,"['Thuốc kháng histamine', 'Thuốc thông minh', 'epinephrine', 'corticosteroid', 'liệu pháp miễn dịch']]]]]]]]]",.,Tiêu thụ mật ong địa phương,Áp dụng calamine,Khu vực che phủ băng,nan,Sử dụng băng để nén ngứa,"Dị ứng, liên tục_sneezing, ớn lạnh, tưới nước_from_eyes","Bệnh: Dị ứng, triệu chứng: Dị ứng, liên tục_sneezing, ớn lạnh, tưới nước_from_eyes, thuốc: ['thuốc kháng histamines', 'thuốc giảm đau', 'epinephrine', 'corticosteroid', 'trị liệu miễn dịch'] -Các thực phẩm giàu ',' Thực phẩm giàu vitamin C ',' Thực phẩm giàu quercetin ',' Probiotics ']]]"
Dị ứng,Dị ứng là một phản ứng hệ thống miễn dịch đối với một chất trong môi trường.,"['Thuốc kháng histamine', 'Thuốc thông minh', 'epinephrine', 'corticosteroid', 'liệu pháp miễn dịch']]]]]]]]]",.,Hạn chế thực phẩm chế biến,Áp dụng calamine,Khu vực che phủ băng,nan,Sử dụng băng để nén ngứa,"Dị ứng, liên tục_sneezing, rùng mình, tưới nước_from_eyes","Bệnh: Dị ứng, triệu chứng: Dị ứng, liên tục_sneezing, run rẩy, tưới nước_from_eyes, thuốc: ['thuốc kháng histamines', 'thuốc giảm đau', 'epinephrine', 'corticosteroid', 'trị liệu miễn dịch'] -Các thực phẩm giàu ',' Thực phẩm giàu vitamin C ',' Thực phẩm giàu quercetin ',' Probiotics ']]]"
Dị ứng,Dị ứng là một phản ứng hệ thống miễn dịch đối với một chất trong môi trường.,"['Thuốc kháng histamine', 'Thuốc thông minh', 'epinephrine', 'corticosteroid', 'liệu pháp miễn dịch']]]]]]]]]",.,Bao gồm gừng trong chế độ ăn uống,Áp dụng calamine,Khu vực che phủ băng,nan,Sử dụng băng để nén ngứa,"Dị ứng, liên tục_sneezing, run rẩy, ớn lạnh","Bệnh: Dị ứng, triệu chứng: Dị ứng, liên tục_sneezing, run rẩy, ớn lạnh, thuốc: ['thuốc kháng histamines', 'thuốc thông minh', 'epinephrine', 'corticosteroid', 'liệu pháp miễn dịch'] -Các thực phẩm giàu ',' Thực phẩm giàu vitamin C ',' Thực phẩm giàu quercetin ',' Probiotics ']]]"
Dị ứng,Dị ứng là một phản ứng hệ thống miễn dịch đối với một chất trong môi trường.,"['Thuốc kháng histamine', 'Thuốc thông minh', 'epinephrine', 'corticosteroid', 'liệu pháp miễn dịch']]]]]]]]]",.,Tránh phụ gia nhân tạo,Áp dụng calamine,Khu vực che phủ băng,nan,Sử dụng băng để nén ngứa,"Dị ứng, liên tục_sneezing, rùng mình, ớn lạnh, tưới nước_from_eyes","Bệnh: Dị ứng, triệu chứng: Dị ứng, liên tục_sneezing, run rẩy, ớn lạnh, tưới nước_from_eyes, thuốc: ['thuốc kháng histamines', 'thuốc giảm đau', 'epinephrine', 'corticosteroid', 'trị liệu miễn dịch' Thực phẩm giàu -3 ',' Thực phẩm giàu vitamin C ',' Thực phẩm giàu quercetin ',' Probiotic ']]"
Gerd,GERD (bệnh trào ngược dạ dày thực quản) là một rối loạn tiêu hóa ảnh hưởng đến cơ vòng thực quản thấp hơn.,.,.,Tiêu thụ các bữa ăn nhỏ hơn,Tránh thức ăn cay béo,Tránh nằm xuống sau khi ăn,Duy trì cân nặng khỏe mạnh,bài tập,"Gerd, dạ dày_pain, axit, loét_on_tongue, nôn mửa","Bệnh: GERD, triệu chứng: GERD, dạ dày_pain, axit, loét_on_tongue, nôn mửa, thuốc: ['thuốc ức chế bơm proton (PPI)', 'H2 Chụp Chế độ ăn ít axit ',' Thực phẩm giàu chất xơ ',' Ginger ',' Licorice ',' Aloe Vera Juice ']]]"
Gerd,GERD (bệnh trào ngược dạ dày thực quản) là một rối loạn tiêu hóa ảnh hưởng đến cơ vòng thực quản thấp hơn.,.,.,"Tránh kích hoạt thực phẩm (cay, béo)",Tránh thức ăn cay béo,Tránh nằm xuống sau khi ăn,Duy trì cân nặng khỏe mạnh,bài tập,"Gerd, dạ dày_pain, loét_on_tongue, nôn mửa, ho","Bệnh: GERD, triệu chứng: GERD, dạ dày_pain, loét_on_tongue, nôn, ho, thuốc: ['thuốc ức chế bơm proton (PPIs)', 'H2 Chụp Chế độ ăn ít axit ',' Thực phẩm giàu chất xơ ',' Ginger ',' Licorice ',' Aloe Vera Juice ']]]"
Gerd,GERD (bệnh trào ngược dạ dày thực quản) là một rối loạn tiêu hóa ảnh hưởng đến cơ vòng thực quản thấp hơn.,.,.,Ăn thực phẩm nhiều chất xơ,Tránh thức ăn cay béo,Tránh nằm xuống sau khi ăn,Duy trì cân nặng khỏe mạnh,bài tập,"Gerd, dạ dày_pain, axit, nôn, ho","Bệnh: GERD, Các triệu chứng: GERD, dạ dày_pain, axit, nôn, ho, thuốc: ['thuốc ức chế bơm proton (PPI)', 'H2 chẹn', 'thuốc kháng axit', 'prokinetic', 'kháng sinh'] Chế độ ăn ít axit ',' Thực phẩm giàu chất xơ ',' Ginger ',' Licorice ',' Aloe Vera Juice ']]]"
Gerd,GERD (bệnh trào ngược dạ dày thực quản) là một rối loạn tiêu hóa ảnh hưởng đến cơ vòng thực quản thấp hơn.,.,.,Hạn chế caffeine và rượu,Tránh thức ăn cay béo,Tránh nằm xuống sau khi ăn,Duy trì cân nặng khỏe mạnh,bài tập,"Gerd, dạ dày_pain, axit, loét_on_tongue, ho","Bệnh: GERD, Các triệu chứng: GERD, dạ dày_pain, axit, loét_on_tongue, ho, thuốc: ['thuốc ức chế bơm proton (PPIs)', 'H2 Chụp Chế độ ăn ít axit ',' Thực phẩm giàu chất xơ ',' Ginger ',' Licorice ',' Aloe Vera Juice ']]]"
Gerd,GERD (bệnh trào ngược dạ dày thực quản) là một rối loạn tiêu hóa ảnh hưởng đến cơ vòng thực quản thấp hơn.,.,.,Nhai thức ăn kỹ,Tránh thức ăn cay béo,Tránh nằm xuống sau khi ăn,Duy trì cân nặng khỏe mạnh,bài tập,"Gerd, dạ dày_pain, axit, loét_on_tongue, nôn mửa","Bệnh: GERD, triệu chứng: GERD, dạ dày_pain, axit, loét_on_tongue, nôn mửa, thuốc: ['thuốc ức chế bơm proton (PPI)', 'H2 Chụp Chế độ ăn ít axit ',' Thực phẩm giàu chất xơ ',' Ginger ',' Licorice ',' Aloe Vera Juice ']]]"
Gerd,GERD (bệnh trào ngược dạ dày thực quản) là một rối loạn tiêu hóa ảnh hưởng đến cơ vòng thực quản thấp hơn.,.,.,Tránh ăn đêm khuya,Tránh thức ăn cay béo,Tránh nằm xuống sau khi ăn,Duy trì cân nặng khỏe mạnh,bài tập,"Gerd, dạ dày_pain, axit, loét_on_tongue, nôn mửa","Bệnh: GERD, triệu chứng: GERD, dạ dày_pain, axit, loét_on_tongue, nôn mửa, thuốc: ['thuốc ức chế bơm proton (PPI)', 'H2 Chụp Chế độ ăn ít axit ',' Thực phẩm giàu chất xơ ',' Ginger ',' Licorice ',' Aloe Vera Juice ']]]"
Gerd,GERD (bệnh trào ngược dạ dày thực quản) là một rối loạn tiêu hóa ảnh hưởng đến cơ vòng thực quản thấp hơn.,.,.,Tiêu thụ trái cây phi Citrus,Tránh thức ăn cay béo,Tránh nằm xuống sau khi ăn,Duy trì cân nặng khỏe mạnh,bài tập,"Gerd, axit, loét_on_tongue, nôn mửa, ho","Bệnh: GERD, Triệu chứng: GERD, ACITY, ULCERS_ON_TONGUE, NOMITING, COUGH, MEDICATION: ['thuốc ức chế bơm proton (PPIs)', 'H2 Chụp Chế độ ăn ít axit ',' Thực phẩm giàu chất xơ ',' Ginger ',' Licorice ',' Aloe Vera Juice ']]]"
Gerd,GERD (bệnh trào ngược dạ dày thực quản) là một rối loạn tiêu hóa ảnh hưởng đến cơ vòng thực quản thấp hơn.,.,.,Bao gồm protein nạc,Tránh thức ăn cay béo,Tránh nằm xuống sau khi ăn,Duy trì cân nặng khỏe mạnh,bài tập,"Gerd, dạ dày_pain, loét_on_tongue, nôn mửa, ho","Bệnh: GERD, triệu chứng: GERD, dạ dày_pain, loét_on_tongue, nôn, ho, thuốc: ['thuốc ức chế bơm proton (PPIs)', 'H2 Chụp Chế độ ăn ít axit ',' Thực phẩm giàu chất xơ ',' Ginger ',' Licorice ',' Aloe Vera Juice ']]]"
Gerd,GERD (bệnh trào ngược dạ dày thực quản) là một rối loạn tiêu hóa ảnh hưởng đến cơ vòng thực quản thấp hơn.,.,.,Giữ nước,Tránh thức ăn cay béo,Tránh nằm xuống sau khi ăn,Duy trì cân nặng khỏe mạnh,bài tập,"Gerd, dạ dày_pain, axit, nôn, ho","Bệnh: GERD, Các triệu chứng: GERD, dạ dày_pain, axit, nôn, ho, thuốc: ['thuốc ức chế bơm proton (PPI)', 'H2 chẹn', 'thuốc kháng axit', 'prokinetic', 'kháng sinh'] Chế độ ăn ít axit ',' Thực phẩm giàu chất xơ ',' Ginger ',' Licorice ',' Aloe Vera Juice ']]]"
Gerd,GERD (bệnh trào ngược dạ dày thực quản) là một rối loạn tiêu hóa ảnh hưởng đến cơ vòng thực quản thấp hơn.,.,.,Tránh đồ uống có ga,Tránh thức ăn cay béo,Tránh nằm xuống sau khi ăn,Duy trì cân nặng khỏe mạnh,bài tập,"Gerd, dạ dày_pain, axit, loét_on_tongue, ho","Bệnh: GERD, Các triệu chứng: GERD, dạ dày_pain, axit, loét_on_tongue, ho, thuốc: ['thuốc ức chế bơm proton (PPIs)', 'H2 Chụp Chế độ ăn ít axit ',' Thực phẩm giàu chất xơ ',' Ginger ',' Licorice ',' Aloe Vera Juice ']]]"
Cholestocation mãn tính,Cholestocation mãn tính là một tình trạng lưu lượng mật từ gan bị giảm trong một thời gian dài.,"['Axit ursodeoxycholic', 'cholestyramine', 'methotrexate', 'corticosteroid', 'ghép gan']]]]","['Chế độ ăn ít chất béo', 'Chế độ ăn nhiều chất xơ', 'protein nạc', 'ngũ cốc nguyên hạt', 'trái cây và rau quả tươi']]",Tiêu thụ chế độ ăn ít chất béo,Tắm lạnh,thuốc chống ngứa,Tham khảo ý kiến ​​bác sĩ,Ăn uống lành mạnh,"Cholestocation mãn tính, ngứa, nôn, vàng_skin, buồn nôn","Bệnh: ứ mật mãn tính, triệu chứng: ứ mật mãn tính, ngứa, nôn, vàng_skin, buồn nôn, thuốc Chế độ ăn kiêng chất béo ',' Chế độ ăn nhiều chất xơ ',' protein nạc ',' ngũ cốc nguyên hạt ',' trái cây và rau quả tươi ']]]"
Cholestocation mãn tính,Cholestocation mãn tính là một tình trạng lưu lượng mật từ gan bị giảm trong một thời gian dài.,"['Axit ursodeoxycholic', 'cholestyramine', 'methotrexate', 'corticosteroid', 'ghép gan']]]]","['Chế độ ăn ít chất béo', 'Chế độ ăn nhiều chất xơ', 'protein nạc', 'ngũ cốc nguyên hạt', 'trái cây và rau quả tươi']]",Ăn thực phẩm nhiều chất xơ,Tắm lạnh,thuốc chống ngứa,Tham khảo ý kiến ​​bác sĩ,Ăn uống lành mạnh,"Cholestocation mãn tính, nôn mửa, vàng_skin, buồn nôn, mất_of_appetite","Bệnh: ứ mật mãn tính, triệu chứng: ứ mật mãn tính, nôn mửa, vàng_skin, buồn nôn, mất_of_appetite, thuốc: Chế độ ăn kiêng chất béo ',' Chế độ ăn nhiều chất xơ ',' protein nạc ',' ngũ cốc nguyên hạt ',' trái cây và rau quả tươi ']]]"
Cholestocation mãn tính,Cholestocation mãn tính là một tình trạng lưu lượng mật từ gan bị giảm trong một thời gian dài.,"['Axit ursodeoxycholic', 'cholestyramine', 'methotrexate', 'corticosteroid', 'ghép gan']]]]","['Chế độ ăn ít chất béo', 'Chế độ ăn nhiều chất xơ', 'protein nạc', 'ngũ cốc nguyên hạt', 'trái cây và rau quả tươi']]",Bao gồm chất béo lành mạnh,Tắm lạnh,thuốc chống ngứa,Tham khảo ý kiến ​​bác sĩ,Ăn uống lành mạnh,"Cholestocation mãn tính, ngứa, vàng_skin, buồn nôn, mất_of_appetite","Bệnh: ứ mật mãn tính, triệu chứng: ứ mật mãn tính, ngứa, vàng, buồn nôn, mất_of_appetite, thuốc: Chế độ ăn kiêng chất béo ',' Chế độ ăn nhiều chất xơ ',' protein nạc ',' ngũ cốc nguyên hạt ',' trái cây và rau quả tươi ']]]"
Cholestocation mãn tính,Cholestocation mãn tính là một tình trạng lưu lượng mật từ gan bị giảm trong một thời gian dài.,"['Axit ursodeoxycholic', 'cholestyramine', 'methotrexate', 'corticosteroid', 'ghép gan']]]]","['Chế độ ăn ít chất béo', 'Chế độ ăn nhiều chất xơ', 'protein nạc', 'ngũ cốc nguyên hạt', 'trái cây và rau quả tươi']]",Hạn chế tiêu thụ rượu,Tắm lạnh,thuốc chống ngứa,Tham khảo ý kiến ​​bác sĩ,Ăn uống lành mạnh,"Cholestocation mãn tính, ngứa, nôn, buồn nôn, mất_of_appetite","Bệnh: ứ mật mãn tính, triệu chứng: ứ mật mãn tính, ngứa, nôn, buồn nôn, mất_of_appetite, thuốc Chế độ ăn kiêng chất béo ',' Chế độ ăn nhiều chất xơ ',' protein nạc ',' ngũ cốc nguyên hạt ',' trái cây và rau quả tươi ']]]"
Cholestocation mãn tính,Cholestocation mãn tính là một tình trạng lưu lượng mật từ gan bị giảm trong một thời gian dài.,"['Axit ursodeoxycholic', 'cholestyramine', 'methotrexate', 'corticosteroid', 'ghép gan']]]]","['Chế độ ăn ít chất béo', 'Chế độ ăn nhiều chất xơ', 'protein nạc', 'ngũ cốc nguyên hạt', 'trái cây và rau quả tươi']]",Giữ nước,Tắm lạnh,thuốc chống ngứa,Tham khảo ý kiến ​​bác sĩ,Ăn uống lành mạnh,"Cholestocation mãn tính, ngứa, nôn, Yellowish_skin, Loss_of_appetite","Bệnh: ứ mật mãn tính, triệu chứng: ứ mật mãn tính, ngứa, nôn, vàng_skin, mất_of_appetite, thuốc: ['ursodeoxycholic acid', 'cholestyramine', ' Chế độ ăn kiêng chất béo ',' Chế độ ăn nhiều chất xơ ',' protein nạc ',' ngũ cốc nguyên hạt ',' trái cây và rau quả tươi ']]]"
Cholestocation mãn tính,Cholestocation mãn tính là một tình trạng lưu lượng mật từ gan bị giảm trong một thời gian dài.,"['Axit ursodeoxycholic', 'cholestyramine', 'methotrexate', 'corticosteroid', 'ghép gan']]]]","['Chế độ ăn ít chất béo', 'Chế độ ăn nhiều chất xơ', 'protein nạc', 'ngũ cốc nguyên hạt', 'trái cây và rau quả tươi']]",Tiêu thụ thực phẩm giàu chất chống oxy hóa,Tắm lạnh,thuốc chống ngứa,Tham khảo ý kiến ​​bác sĩ,Ăn uống lành mạnh,"Cholestocation mãn tính, ngứa, nôn, vàng_skin, buồn nôn","Bệnh: ứ mật mãn tính, triệu chứng: ứ mật mãn tính, ngứa, nôn, vàng_skin, buồn nôn, thuốc Chế độ ăn kiêng chất béo ',' Chế độ ăn nhiều chất xơ ',' protein nạc ',' ngũ cốc nguyên hạt ',' trái cây và rau quả tươi ']]]"
